0,55.4756217,10.3284029,13.54,322
1,55.4756221,10.3284095,14.41,328
2,55.4756221,10.3284069,16.73,343
3,55.4756246,10.3283964,17.95,335
4,55.4756387,10.3283200,17.01,294
5,55.4756970,10.3282807,18.14,325
6,55.4757670,10.3282045,19.90,330
7,55.4758255,10.3281471,21.27,336
8,55.4758842,10.3281347,22.73,5
9,55.4759669,10.3281461,25.52,4
10,55.4760540,10.3281626,28.35,5
11,55.4761185,10.3281772,30.54,2
12,55.4761453,10.3281821,31.16,3
13,55.4761471,10.3281642,31.38,321
14,55.4761379,10.3281429,31.36,245
15,55.4761338,10.3281142,31.30,238
16,55.4761264,10.3280937,31.23,243
17,55.4761169,10.3280707,31.23,241
18,55.4761069,10.3280455,31.31,240
19,55.4761001,10.3280187,31.34,238
20,55.4760903,10.3279911,31.35,239
21,55.4760823,10.3279647,31.40,239
22,55.4760732,10.3279374,31.45,239
23,55.4760646,10.3279134,31.60,241
24,55.4760543,10.3278814,31.63,237
25,55.4760467,10.3278535,31.80,241
26,55.4760367,10.3278269,31.91,239
27,55.4760295,10.3278042,31.96,238
28,55.4760191,10.3277740,32.08,239
29,55.4760105,10.3277469,32.17,239
30,55.4760030,10.3277243,32.33,239
31,55.4759928,10.3276937,32.45,240
32,55.4759856,10.3276703,32.53,239
33,55.4759747,10.3276368,32.58,240
34,55.4759670,10.3276138,32.54,238
35,55.4759589,10.3275940,32.58,235
36,55.4759449,10.3276131,31.80,178
37,55.4759325,10.3276382,30.86,129
38,55.4759223,10.3276601,29.91,127
39,55.4759134,10.3276767,29.09,132
40,55.4759015,10.3277028,27.99,133
41,55.4758893,10.3277300,26.97,132
42,55.4758771,10.3277495,25.94,131
43,55.4758648,10.3277721,24.93,131
44,55.4758547,10.3277968,23.75,131
45,55.4758425,10.3278203,22.83,132
46,55.4758302,10.3278443,21.73,131
47,55.4758190,10.3278650,20.56,131
48,55.4758072,10.3278886,19.45,129
49,55.4757962,10.3279118,18.45,131
50,55.4757827,10.3279394,17.40,132
51,55.4757267,10.3280319,17.21,138
52,55.4756635,10.3281328,17.12,136
53,55.4756176,10.3282049,17.00,130
54,55.4756020,10.3282352,16.25,131
55,55.4755988,10.3282414,14.89,131
56,55.4755989,10.3282379,14.03,129
57,55.4755991,10.3282366,13.91,124
